stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\aline\Documents\Visual Studio 2019\MathChef\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.04813] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.04823] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.04834] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.04844] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.04854] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.04865] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.04875] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.04886] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.04896] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.04907] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.04917] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.04928] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.04939] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.04950] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04960] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.04970] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04981] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.04991] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05002] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05013] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05024] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05035] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05046] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05056] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05067] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05078] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05088] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05098] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05109] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05127] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05137] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05147] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05158] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05168] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05178] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05189] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05199] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05210] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05220] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05231] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05242] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05256] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05291] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05312] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05325] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05335] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.05346] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05356] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.05366] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05378] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.05439] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05455] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.05471] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05488] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.05503] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05518] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.05533] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05548] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.05559] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05571] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.05582] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05594] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.05605] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05616] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.05625] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05635] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.05645] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05657] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.05667] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05680] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.05693] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05707] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.05725] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05747] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.05762] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05783] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.05795] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05810] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05829] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05842] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05866] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05911] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05928] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05954] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05969] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06024] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06038] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06052] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06064] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06081] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06094] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06107] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06118] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06129] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06140] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06151] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06161] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06172] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06187] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06201] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06227] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06252] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06305] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06333] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06354] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06372] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06388] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06402] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1682 d3d_create_display_internals     [   0.06418] Trying format 0.
d3d      I         d3d_disp.cpp:1358 d3d_display_thread_proc          [   0.06517] Chose a display format: 23
d3d      I         d3d_disp.cpp:1427 d3d_display_thread_proc          [   0.06533] Normal window.
d3d      I         d3d_disp.cpp:791  d3d_create_device                [   0.10503] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:853  d3d_create_device                [   0.13353] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:861  d3d_create_device                [   0.13370] Success
d3d      D         d3d_disp.cpp:1705 d3d_create_display_internals     [   0.13387] Resumed after wait.
d3d      I         d3d_disp.cpp:1738 d3d_create_display_internals     [   0.13401] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1769 d3d_create_display_internals     [   0.13414] Returning d3d_display: 010201C8
d3d      D         d3d_disp.cpp:1794 d3d_create_display_locked        [   0.13426] al_display=010201C8
d3d      D         d3d_disp.cpp:1795 d3d_create_display_locked        [   0.13436] al_display->vt=01013C50
system   D            wsystem.c:819  maybe_parent_dir                 [   0.13469] Also searching C:\Users\aline\Documents\Visual Studio 2019\MathChef\
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.13553] PathFindOnPath failed to find d3dx9_43.dll
system   D            wsystem.c:819  maybe_parent_dir                 [   0.13584] Also searching C:\Users\aline\Documents\Visual Studio 2019\MathChef\
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.13687] PathFindOnPath failed to find d3dx9_42.dll
system   D            wsystem.c:819  maybe_parent_dir                 [   0.13720] Also searching C:\Users\aline\Documents\Visual Studio 2019\MathChef\
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.13819] PathFindOnPath failed to find d3dx9_41.dll
system   D            wsystem.c:819  maybe_parent_dir                 [   0.13850] Also searching C:\Users\aline\Documents\Visual Studio 2019\MathChef\
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.13948] PathFindOnPath failed to find d3dx9_40.dll
system   D            wsystem.c:819  maybe_parent_dir                 [   0.13978] Also searching C:\Users\aline\Documents\Visual Studio 2019\MathChef\
system   D            wsystem.c:874  _al_win_safe_load_library        [   0.14012] PathFindOnPath found: C:\Windows\system32\d3dx9_39.dll
system   D            wsystem.c:780  load_library_at_path             [   0.14025] Calling LoadLibrary C:\Windows\system32\d3dx9_39.dll
system   I            wsystem.c:783  load_library_at_path             [   0.14598] Loaded C:\Windows\system32\d3dx9_39.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.14619] Module "d3dx9_39.dll" loaded.
dtor     D               dtor.c:196  _al_register_destructor          [   0.14646] added dtor for queue 01010CB0, func 5C41170D
dtor     D               dtor.c:196  _al_register_destructor          [   0.14991] added dtor for queue 01010D50, func 5C41170D
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.15011] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.15036] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.15048] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.15059] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.15073] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.15085] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.15096] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.15106] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.15118] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   0.15130] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   0.15142] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   0.15154] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   0.15168] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.15211] added dtor for bitmap 07B714F0, func 5C4117D0
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.15230] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.15245] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.15258] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.15288] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.15301] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.15313] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.15326] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.15340] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.15355] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   0.15369] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   0.15380] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   0.15394] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   0.15407] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.15489] added dtor for bitmap 07B88288, func 5C4117D0
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.15547] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.15561] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.15572] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.15584] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.15595] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.15606] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.15617] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.15628] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.15641] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   0.15652] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   0.15663] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   0.15674] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   0.15686] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.15723] added dtor for bitmap 07B9B018, func 5C4117D0
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.15737] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.15749] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.15763] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.15776] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.15787] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.15800] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.15814] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.15826] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.15844] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   0.15855] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   0.15866] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   0.15902] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   0.15915] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.15972] added dtor for bitmap 07BACDA0, func 5C4117D0
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.15986] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.15997] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.16007] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.16040] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.16053] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.16179] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.16192] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.16207] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.16230] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   0.16390] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   0.16445] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   0.16465] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   0.16480] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.16538] added dtor for bitmap 07E63B38, func 5C4117D0
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.16554] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.16566] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.16579] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.16591] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.16602] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.16618] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.16630] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.16641] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.16653] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   0.16665] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   0.16676] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   0.16687] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   0.16699] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.16733] added dtor for bitmap 07E7C7B0, func 5C4117D0
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.18508] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.18536] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.18663] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.18686] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.18776] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.18795] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.18884] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.18904] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.18990] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.19008] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.19094] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.19111] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.19284] _al_d3d_sync_bitmap (system) ref count == 1
